Bundling 6%
Bundling 20%
Bundling 64%
Bundling 69%
Bundling 74%
Bundling 80%
Bundling 85%
Bundling 90%
Bundling 95%
Bundling 100%
Copying public dir 11.1 MB
Copying public dir 23.8 MB
Copying public dir 34.6 MB
Copying public dir 38.3 MB
Copying public dir 44.6 MB
Copying public dir 58 MB
Copying public dir 65.9 MB
Getting composition
Rendered 0/13675
Rendered 137/13675, time remaining: 3m 23s
Rendered 138/13675, time remaining: 3m 22s
Rendered 139/13675, time remaining: 3m 22s
Rendered 140/13675, time remaining: 3m 23s
Rendered 141/13675, time remaining: 3m 22s
Rendered 142/13675, time remaining: 3m 21s
Rendered 143/13675, time remaining: 3m 21s
Rendered 144/13675, time remaining: 3m 22s
Rendered 145/13675, time remaining: 3m 21s
Rendered 146/13675, time remaining: 3m 20s
Rendered 147/13675, time remaining: 3m 19s
Rendered 148/13675, time remaining: 3m 20s
Rendered 149/13675, time remaining: 3m 20s
Rendered 150/13675, time remaining: 3m 19s
Rendered 151/13675, time remaining: 3m 1s
Rendered 152/13675, time remaining: 3m 2s
Rendered 153/13675, time remaining: 3m 2s
Rendered 154/13675, time remaining: 3m 1s
Rendered 155/13675, time remaining: 2m 59s
Rendered 156/13675, time remaining: 3m 1s
Rendered 157/13675, time remaining: 3m 0s
Rendered 158/13675, time remaining: 3m 0s
Rendered 159/13675, time remaining: 2m 58s
Rendered 160/13675, time remaining: 3m 0s
Rendered 161/13675, time remaining: 2m 59s
Rendered 162/13675, time remaining: 2m 58s
Rendered 163/13675, time remaining: 2m 58s
Rendered 164/13675, time remaining: 2m 58s
Rendered 165/13675, time remaining: 2m 58s
Rendered 166/13675, time remaining: 2m 57s
Rendered 167/13675, time remaining: 2m 56s
Rendered 168/13675, time remaining: 2m 57s
Rendered 169/13675, time remaining: 2m 57s
Rendered 170/13675, time remaining: 2m 56s
Rendered 171/13675, time remaining: 2m 56s
Rendered 172/13675, time remaining: 2m 57s
Rendered 173/13675, time remaining: 2m 56s
Rendered 174/13675, time remaining: 2m 55s
Rendered 175/13675, time remaining: 2m 55s
Rendered 176/13675, time remaining: 2m 56s
Rendered 177/13675, time remaining: 2m 55s
Rendered 178/13675, time remaining: 2m 54s
Rendered 179/13675, time remaining: 2m 54s
Rendered 180/13675, time remaining: 2m 55s
Rendered 181/13675, time remaining: 2m 55s
Rendered 182/13675, time remaining: 2m 53s
Rendered 183/13675, time remaining: 2m 52s
Rendered 184/13675, time remaining: 2m 54s
Rendered 185/13675, time remaining: 2m 53s
Rendered 186/13675, time remaining: 2m 53s
Rendered 187/13675, time remaining: 2m 52s
Rendered 188/13675, time remaining: 2m 53s
Rendered 189/13675, time remaining: 2m 51s
Rendered 190/13675, time remaining: 2m 51s
Rendered 191/13675, time remaining: 2m 50s
Rendered 192/13675, time remaining: 2m 52s
Rendered 193/13675, time remaining: 2m 50s
Rendered 194/13675, time remaining: 2m 49s
Rendered 195/13675, time remaining: 2m 49s
Rendered 196/13675, time remaining: 2m 51s
Rendered 197/13675, time remaining: 2m 48s
Rendered 198/13675, time remaining: 2m 48s
Rendered 199/13675, time remaining: 2m 47s
Rendered 200/13675, time remaining: 2m 49s
Rendered 201/13675, time remaining: 2m 46s
Rendered 202/13675, time remaining: 2m 46s
Rendered 203/13675, time remaining: 2m 46s
Rendered 204/13675, time remaining: 2m 47s
Rendered 205/13675, time remaining: 2m 45s
Rendered 206/13675, time remaining: 2m 44s
Rendered 207/13675, time remaining: 2m 44s
Rendered 208/13675, time remaining: 2m 45s
Rendered 209/13675, time remaining: 2m 44s
Rendered 210/13675, time remaining: 2m 43s
Rendered 211/13675, time remaining: 2m 43s
Rendered 212/13675, time remaining: 2m 44s
Rendered 213/13675, time remaining: 2m 41s
Rendered 214/13675, time remaining: 2m 40s
Rendered 215/13675, time remaining: 2m 40s
Rendered 216/13675, time remaining: 2m 42s
Rendered 217/13675, time remaining: 2m 39s
Rendered 218/13675, time remaining: 2m 38s
Rendered 219/13675, time remaining: 2m 38s
Rendered 220/13675, time remaining: 2m 40s
Rendered 221/13675, time remaining: 2m 38s
Rendered 222/13675, time remaining: 2m 38s
Rendered 223/13675, time remaining: 2m 38s
Rendered 224/13675, time remaining: 2m 39s
Rendered 225/13675, time remaining: 2m 39s
Rendered 226/13675, time remaining: 2m 38s
Rendered 227/13675, time remaining: 2m 38s
Rendered 228/13675, time remaining: 2m 38s
Rendered 229/13675, time remaining: 2m 39s
Rendered 230/13675, time remaining: 2m 37s
Rendered 231/13675, time remaining: 2m 38s
Rendered 232/13675, time remaining: 2m 38s
Rendered 233/13675, time remaining: 2m 39s
Rendered 234/13675, time remaining: 2m 37s
Rendered 235/13675, time remaining: 2m 37s
Rendered 236/13675, time remaining: 2m 37s
Rendered 237/13675, time remaining: 2m 39s
Rendered 238/13675, time remaining: 2m 36s
Rendered 239/13675, time remaining: 2m 37s
Rendered 240/13675, time remaining: 2m 37s
Rendered 241/13675, time remaining: 2m 38s
Rendered 242/13675, time remaining: 2m 36s
Rendered 243/13675, time remaining: 2m 36s
Rendered 244/13675, time remaining: 2m 36s
Rendered 245/13675, time remaining: 2m 37s
Rendered 246/13675, time remaining: 2m 35s
Rendered 247/13675, time remaining: 2m 35s
Rendered 248/13675, time remaining: 2m 35s
Rendered 249/13675, time remaining: 2m 37s
Rendered 250/13675, time remaining: 2m 35s
Rendered 251/13675, time remaining: 2m 35s
Rendered 252/13675, time remaining: 2m 35s
Rendered 253/13675, time remaining: 2m 37s
Rendered 254/13675, time remaining: 2m 35s
Rendered 255/13675, time remaining: 2m 35s
Rendered 256/13675, time remaining: 2m 35s
Rendered 257/13675, time remaining: 2m 37s
Rendered 258/13675, time remaining: 2m 35s
Rendered 259/13675, time remaining: 2m 35s
Rendered 260/13675, time remaining: 2m 35s
Rendered 261/13675, time remaining: 2m 37s
Rendered 262/13675, time remaining: 2m 35s
Rendered 263/13675, time remaining: 2m 34s
Rendered 264/13675, time remaining: 2m 34s
Rendered 265/13675, time remaining: 2m 36s
Rendered 266/13675, time remaining: 2m 34s
